date,county,count,latitude,longitude,state
2017.06.02,"Acadia,LA",700,29.77,-90.8,LA
2017.06.02,"Acadia,LA",1936,29.77,-90.8,LA
2017.06.03,"Ada,ID",508,47.35,-115.62,ID
2017.06.04,"Ada,ID",583,47.35,-115.62,ID
2017.06.02,"Ada,ID",585,47.35,-115.62,ID
2017.06.03,"Ada,ID",605,47.35,-115.62,ID
2017.06.03,"Ada,ID",616,47.35,-115.62,ID
2017.06.01,"Ada,ID",633,47.35,-115.62,ID
2017.06.03,"Ada,ID",743,47.35,-115.62,ID
2017.06.04,"Ada,ID",856,47.35,-115.62,ID
2017.06.04,"Ada,ID",886,47.35,-115.62,ID
2017.06.04,"Ada,ID",934,47.35,-115.62,ID
2017.06.03,"Ada,ID",951,47.35,-115.62,ID
2017.06.03,"Ada,ID",1028,47.35,-115.62,ID
2017.06.01,"Ada,ID",1057,47.35,-115.62,ID
2017.06.02,"Ada,ID",1096,47.35,-115.62,ID
2017.06.03,"Ada,ID",1100,47.35,-115.62,ID
2017.06.03,"Ada,ID",8625,47.35,-115.62,ID
2017.06.02,"Adair,MO",744,38.15,-92.98,MO
2017.06.04,"Adams,CO",547,39.83,-104.93,CO
2017.06.03,"Adams,CO",587,39.83,-104.93,CO
2017.06.03,"Adams,CO",640,39.83,-104.93,CO
2017.06.01,"Adams,CO",861,39.83,-104.93,CO
2017.06.03,"Adams,CO",1094,39.83,-104.93,CO
2017.06.02,"Adams,CO",1426,39.83,-104.93,CO
2017.06.03,"Adams,CO",3667,39.83,-104.93,CO
2017.06.02,"Adams,CO",8373,39.83,-104.93,CO
2017.06.04,"Adams,CO",10366,39.83,-104.93,CO
2017.06.02,"Adams,IL",962,39.87,-91.2,IL
2017.06.01,"Adams,MS",594,32.17,-90.57,MS
2017.06.04,"Adams,OH",586,40.15,-81.95,OH
2017.06.03,"Adams,PA",1187,40.93,-79.65,PA
2017.06.01,"Adams,PA",3882,40.93,-79.65,PA
2017.06.01,"Adams,WA",626,47,-118.66,WA
2017.06.02,"Aiken,SC",2386,33.57,-81.72,SC
2017.06.02,"Alachua,FL",512,29.8,-82.5,FL
2017.06.03,"Alachua,FL",527,29.8,-82.5,FL
2017.06.04,"Alachua,FL",545,29.8,-82.5,FL
2017.06.01,"Alachua,FL",559,29.8,-82.5,FL
2017.06.03,"Alachua,FL",633,29.8,-82.5,FL
2017.06.04,"Alachua,FL",636,29.8,-82.5,FL
2017.06.03,"Alachua,FL",662,29.8,-82.5,FL
2017.06.02,"Alachua,FL",738,29.8,-82.5,FL
2017.06.04,"Alachua,FL",740,29.8,-82.5,FL
2017.06.01,"Alachua,FL",818,29.8,-82.5,FL
2017.06.04,"Alachua,FL",965,29.8,-82.5,FL
2017.06.03,"Alachua,FL",985,29.8,-82.5,FL
2017.06.03,"Alachua,FL",994,29.8,-82.5,FL
2017.06.01,"Alachua,FL",1139,29.8,-82.5,FL
2017.06.03,"Alachua,FL",1172,29.8,-82.5,FL
2017.06.03,"Alachua,FL",1342,29.8,-82.5,FL
2017.06.04,"Alachua,FL",1557,29.8,-82.5,FL
2017.06.03,"Alachua,FL",1761,29.8,-82.5,FL
2017.06.03,"Alachua,FL",2188,29.8,-82.5,FL
2017.06.02,"Alachua,FL",2633,29.8,-82.5,FL
2017.06.02,"Alachua,FL",2640,29.8,-82.5,FL
2017.06.03,"Alachua,FL",3056,29.8,-82.5,FL
2017.06.02,"Alamance,NC",841,36.03,-79.48,NC
2017.06.04,"Alamance,NC",921,36.03,-79.48,NC
2017.06.03,"Alamance,NC",1097,36.03,-79.48,NC
2017.06.03,"Alameda,CA",511,35.23,-119,CA
2017.06.03,"Alameda,CA",536,35.23,-119,CA
2017.06.03,"Alameda,CA",561,35.23,-119,CA
2017.06.01,"Alameda,CA",571,35.23,-119,CA
2017.06.01,"Alameda,CA",580,35.23,-119,CA
2017.06.02,"Alameda,CA",586,35.23,-119,CA
2017.06.02,"Alameda,CA",590,35.23,-119,CA
2017.06.01,"Alameda,CA",604,35.23,-119,CA
2017.06.02,"Alameda,CA",616,35.23,-119,CA
2017.06.03,"Alameda,CA",618,35.23,-119,CA
2017.06.01,"Alameda,CA",619,35.23,-119,CA
2017.06.01,"Alameda,CA",630,35.23,-119,CA
2017.06.02,"Alameda,CA",672,35.23,-119,CA
2017.06.04,"Alameda,CA",691,35.23,-119,CA
2017.06.04,"Alameda,CA",727,35.23,-119,CA
2017.06.04,"Alameda,CA",731,35.23,-119,CA
2017.06.02,"Alameda,CA",762,35.23,-119,CA
2017.06.04,"Alameda,CA",829,35.23,-119,CA
2017.06.01,"Alameda,CA",839,35.23,-119,CA
2017.06.01,"Alameda,CA",846,35.23,-119,CA
2017.06.03,"Alameda,CA",871,35.23,-119,CA
2017.06.02,"Alameda,CA",877,35.23,-119,CA
2017.06.02,"Alameda,CA",895,35.23,-119,CA
2017.06.02,"Alameda,CA",969,35.23,-119,CA
2017.06.03,"Alameda,CA",980,35.23,-119,CA
2017.06.04,"Alameda,CA",1013,35.23,-119,CA
2017.06.01,"Alameda,CA",1087,35.23,-119,CA
2017.06.01,"Alameda,CA",1127,35.23,-119,CA
2017.06.02,"Alameda,CA",1139,35.23,-119,CA
2017.06.04,"Alameda,CA",1156,35.23,-119,CA
2017.06.02,"Alameda,CA",1161,35.23,-119,CA
2017.06.02,"Alameda,CA",1236,35.23,-119,CA
2017.06.04,"Alameda,CA",1297,35.23,-119,CA
2017.06.01,"Alameda,CA",1319,35.23,-119,CA
2017.06.02,"Alameda,CA",1354,35.23,-119,CA
2017.06.02,"Alameda,CA",1611,35.23,-119,CA
2017.06.01,"Alameda,CA",1836,35.23,-119,CA
2017.06.01,"Alameda,CA",1907,35.23,-119,CA
2017.06.04,"Alameda,CA",1932,35.23,-119,CA
2017.06.02,"Alameda,CA",2158,35.23,-119,CA
2017.06.04,"Alameda,CA",2235,35.23,-119,CA
2017.06.01,"Alameda,CA",2351,35.23,-119,CA
2017.06.01,"Alameda,CA",2369,35.23,-119,CA
2017.06.01,"Alameda,CA",2525,35.23,-119,CA
2017.06.01,"Alameda,CA",2757,35.23,-119,CA
2017.06.04,"Alameda,CA",2774,35.23,-119,CA
2017.06.03,"Alameda,CA",3024,35.23,-119,CA
2017.06.03,"Alameda,CA",3028,35.23,-119,CA
2017.06.03,"Alameda,CA",3031,35.23,-119,CA
2017.06.03,"Alameda,CA",3275,35.23,-119,CA
2017.06.03,"Alameda,CA",6135,35.23,-119,CA
2017.06.01,"Alameda,CA",6471,35.23,-119,CA
2017.06.02,"Alameda,CA",7519,35.23,-119,CA
2017.06.03,"Alameda,CA",7524,35.23,-119,CA
2017.06.04,"Alameda,CA",9336,35.23,-119,CA
2017.06.02,"Alameda,CA",10341,35.23,-119,CA
2017.06.04,"Alameda,CA",10883,35.23,-119,CA
2017.06.02,"Alameda,CA",16008,35.23,-119,CA
2017.06.04,"Alameda,CA",17933,35.23,-119,CA
2017.06.03,"Alameda,CA",44065,35.23,-119,CA
2017.06.02,"Albany,NY",592,42.65,-73.75,NY
2017.06.03,"Albany,NY",601,42.65,-73.75,NY
2017.06.02,"Albany,NY",656,42.65,-73.75,NY
2017.06.02,"Albany,NY",667,42.65,-73.75,NY
2017.06.01,"Albany,NY",741,42.65,-73.75,NY
2017.06.04,"Albany,NY",839,42.65,-73.75,NY
2017.06.01,"Albany,NY",1039,42.65,-73.75,NY
2017.06.03,"Albany,NY",1054,42.65,-73.75,NY
2017.06.03,"Albany,WY",527,41.18,-106.13,WY
2017.06.04,"Albemarle,VA",553,38,-78.52,VA
2017.06.01,"Albemarle,VA",617,38,-78.52,VA
2017.06.01,"Albemarle,VA",760,38,-78.52,VA
2017.06.01,"Albemarle,VA",840,38,-78.52,VA
2017.06.04,"Albemarle,VA",919,38,-78.52,VA
2017.06.04,"Albemarle,VA",1116,38,-78.52,VA
2017.06.02,"Albemarle,VA",1171,38,-78.52,VA
2017.06.03,"Albemarle,VA",1198,38,-78.52,VA
2017.06.01,"Albemarle,VA",1522,38,-78.52,VA
2017.06.03,"Albemarle,VA",1640,38,-78.52,VA
2017.06.01,"Alcorn,MS",556,31.88,-91.13,MS
2017.06.03,"Alexander,NC",545,35.7,-82.62,NC
2017.06.03,"Alexander,NC",816,35.7,-82.62,NC
2017.06.04,"Alger,MI",578,44.13,-84.12,MI
2017.06.03,"Allegan,MI",953,42.53,-85.85,MI
2017.06.04,"Allegan,MI",3326,42.53,-85.85,MI
2017.06.01,"Allegany,MD",1064,39.65,-78.92,MD
2017.06.02,"Allegany,NY",515,42.08,-78.5,NY
2017.06.03,"Allegany,NY",664,42.08,-78.5,NY
2017.06.04,"Allegany,NY",745,42.08,-78.5,NY
2017.06.02,"Allegany,NY",4508,42.08,-78.5,NY
2017.06.01,"Allegheny,PA",512,40.47,-80.02,PA
2017.06.01,"Allegheny,PA",529,40.47,-80.02,PA
2017.06.01,"Allegheny,PA",530,40.47,-80.02,PA
2017.06.02,"Allegheny,PA",537,40.47,-80.02,PA
2017.06.02,"Allegheny,PA",541,40.47,-80.02,PA
2017.06.03,"Allegheny,PA",544,40.47,-80.02,PA
2017.06.04,"Allegheny,PA",557,40.47,-80.02,PA
2017.06.03,"Allegheny,PA",562,40.47,-80.02,PA
2017.06.03,"Allegheny,PA",569,40.47,-80.02,PA
2017.06.02,"Allegheny,PA",582,40.47,-80.02,PA
2017.06.01,"Allegheny,PA",585,40.47,-80.02,PA
2017.06.01,"Allegheny,PA",588,40.47,-80.02,PA
2017.06.03,"Allegheny,PA",597,40.47,-80.02,PA
2017.06.04,"Allegheny,PA",603,40.47,-80.02,PA
2017.06.01,"Allegheny,PA",619,40.47,-80.02,PA
2017.06.01,"Allegheny,PA",630,40.47,-80.02,PA
2017.06.04,"Allegheny,PA",633,40.47,-80.02,PA
2017.06.01,"Allegheny,PA",638,40.47,-80.02,PA
